name,age,develops_in,cost,build_time,applies_to,description,image,civ,type,expansion
Bearded Axe,Imperial,Castle,"{""Food"": 400, ""Gold"": 400}",60,Franks;Throwing Axeman,Throwing Axemen +1 Range & +1 Line of Sight,unique-tech-imperial,Franks,Unique,Age of Kings
Blast Furnace,Imperial,Blacksmith,"{""Food"": 275, ""Gold"": 225}",100,Infantry;Cavalry,Infantry/cavalry attack +2,blast-furnace,,Other,Age of Kings
Block Printing,Imperial,Monastery,"{""Gold"": 200}",55,Monks,Monk conversion range +3,block-printing,,Other,Age of Kings
Bloodlines,Feudal,Stable,"{""Food"": 150, ""Gold"": 100}",50,Cavalry;Cavalry Archer;Conquistador,Mounted units +20 HP,bloodlines,,Other,Age of Kings
Bimaristan,Castle,Castle,"{""Wood"": 300, ""Gold"": 200}",50,Monks,Monks passively heal all friendly units in a 5 tile radius by 75 HP/minute,unique-tech-castle,Saracens,Unique,The Mountain Royals
Bodkin Arrow,Castle,Blacksmith,"{""Food"":200,""Gold"":100}",35,Arrow shooting units and structures,"Archers, Cavalry Archers, Galleys, Castles, and Towers +1 range and attack. Town Centers +1 attack and Line of Sight.",bodkin-arrow,,Other,Age of Kings
Bogsveigar,Imperial,Castle,"{""Food"":650,""Gold"":500}",40,Archer-line;Longboats,Archers and Longboats +1 attack,unique-tech-imperial,Vikings,Unique,Definitive Edition
Bombard Tower,Imperial,University,"{""Food"": 800, ""Wood"": 400}",60,,Allow creation of Bombard Tower,bombard-tower,,Other,Age of Kings
Bow Saw,Castle,Lumber Camp,"{""Wood"": 100, ""Food"": 150}",50,Wood Chopper,Villagers chop wood 20% faster,bow-saw,,Other,Age of Kings
Bracer,Imperial,Blacksmith,"{""Food"":300,""Gold"":200}",40,Arrow shooting units and structures,"Archers, Cavalry Archers, Galleys, Castles, and Towers +1 range and attack. Town Centers +1 attack and Line of Sight.",bracer,,Other,Age of Kings
Burgundian Vineyards,Castle,Castle,"{""Food"": 400, ""Gold"": 300}",45,Farmers,Farmers generate 0.017 gold per second while gathering food,unique-tech-castle,Burgundians,Unique,Lords of the West
Capped Ram,Imperial,Siege Workshop,"{""Food"": 300}",50,Battering Ram,Upgrade to Capped Ram,capped-ram,,Unit,Age of Kings
Caravan,Castle,Market,"{""Food"": 200, ""Gold"": 200}",40,Trade Cart;Trade Cog,Trade Carts and Trade Cogs move 50% faster,caravan,,Other,Age of Kings
Careening,Castle,Dock,"{""Food"": 250, ""Gold"": 150}",50,Ships,"Ship pierce armor +1, Transport Ship capacity +5",careening,,Other,Age of Kings
Carrack,Castle,Castle,"{""Wood"": 200, ""Gold"": 300}",40,Ships,Ship armor +1/+1,unique-tech-castle,Portuguese,Unique,The African Kingdoms
Castle Age,Feudal,Town Center,"{""Food"": 800, ""Gold"": 200}",160,,Advance to the Castle Age,castle-age,,Age,Age of Kings
Cavalier,Imperial,Stable,"{""Food"": 300, ""Gold"": 300}",100,Knight,Upgrade to Cavalier,cavalier,,Unit,Age of Kings
Chain Barding Armor,Castle,Blacksmith,"{""Food"":250,""Gold"":150}",60,Cavalry,Cavalry armor +1/+1,chain-barding-armor,,Other,Age of Kings
Chain Mail Armor,Castle,Blacksmith,"{""Food"": 200, ""Gold"": 100}",55,Infantry,Infantry armor +1/+1,chain-mail-armor,,Other,Age of Kings
Champion,Imperial,Barracks,"{""Food"": 750, ""Gold"": 350}",85,Two Handed Swordsman,Upgrade to Champion,champion,,Unit,Age of Kings
Chatras,Castle,Castle,"{""Food"": 250, ""Gold"": 250}",40,Battle Elephants,Battle Elephants +50 HP,unique-tech-castle,Vietnamese,Unique,Rise of the Rajas
Chemistry,Imperial,University,"{""Food"": 300, ""Gold"": 200}",100,Archer;Skirmisher;Cavalry Archer;Galley;Longboat;Scorpion;Tower,Missile units (including siege) +1 attack. Prerequisite for non-unique gunpowder units,chemistry,,Other,Age of Kings
Chieftains,Castle,Castle,"{""Food"": 600, ""Gold"": 450}",40,Infantry,"Infantry +5 attack vs cavalry, +4 vs camels. Provides infantry with gold generation while attacking villagers, trade units, and monks (5 gold per villager, 20 gold per Monk/Trade unit)",unique-tech-castle,Vikings,Unique,The Forgotten
Chivalry,Castle,Castle,"{""Wood"": 400, ""Gold"": 400}",40,Stables,Stables work 40% faster,unique-tech-castle,Franks,Unique,The Forgotten
Cilician Fleet,Castle,Castle,"{""Wood"": 350, ""Gold"": 300}",45,Demolition Ships;Galley-line,Demolition Ships +33% blast radius & Galley-line and Dromons +1 range,unique-tech-castle,Armenians,Unique,The Mountain Royals
Citadels,Imperial,Castle,"{""Wood"": 600, ""Gold"": 300}",50,Castles,"Castles +4 pierce attack, +3 attack vs rams, +3 attack vs infantry, receive -25% bonus damage",unique-tech-imperial,Persians,Unique,The Mountain Royals
Coinage,Feudal,Market,"{""Food"": 150, ""Gold"": 50}",50,,Tribute inefficiency - 0.2 (20% tribute fee from 30%),coinage,,Other,Age of Kings
Comitatenses,Imperial,Castle,"{""Food"": 700, ""Gold"": 800}",60,Militia-line;Knight-line;Centurions,"Militia-line, Knight-line, and Centurions train 50% faster and receive a 5 damage charge attack",unique-tech-imperial,Romans,Unique,Return to Rome
Conscription,Imperial,Castle,"{""Food"": 150, ""Gold"": 150}",60,Barracks;Archer Range;Stable;Castle,"Working rate of Barracks, Archery Ranges, Stables, and Castles +33%",conscription,,Other,Age of Kings
Corvinian Army,Castle,Castle,"{""Food"": 200, ""Gold"": 300}",40,Magyar Huszars,Magyar Huszar gold cost is replaced by additional food cost,unique-tech-castle,Magyars,Unique,The Forgotten
Counterweights,Imperial,Castle,"{""Food"": 650, ""Gold"": 500}",60,Trebuchets;Mangonel line,Trebuchets and Mangonel-line +15% attack,unique-tech-imperial,Saracens,Unique,Dynasties of India
Couriers,Imperial,Castle,"{""Food"": 600, ""Gold"": 600}",40,Kamayuks;Slingers;Eagle Scouts,"Kamayuks, Slingers, and Eagle Scouts +1/+2 armor",unique-tech-imperial,Incas,Unique,The Forgotten
Crenellations,Imperial,Castle,"{""Food"": 600, ""Gold"": 400}",60,Teutons;Castle,Castles have +3 range and garrisoned infantry fire arrows,unique-tech-imperial,,Other,Age of Kings
Crop Rotation,Imperial,Mill,"{""Food"": 250, ""Wood"": 250}",70,Farm,Food amount +175,crop-rotation,,Other,Age of Kings
Crossbowman,Castle,Archery Range,"{""Food"": 175, ""Gold"": 125}",35,Archer,Upgrade to Crossbowman,crossbowman,,Unit,Age of Kings
Cuman Mercenaries,Imperial,Castle,"{""Food"": 650, ""Gold"": 400}",40,Team,Allies can train up to 10 free Elite Kipchaks at the Castle,unique-tech-imperial,Cumans,Unique,The Last Khans
Detinets,Castle,Castle,"{""Wood"": 400, ""Gold"": 200}",40,Castles,Replaces 40% of Castles' and towers' stone cost with wood,unique-tech-castle,Slavs,Unique,Dynasties of India
Double Bit Axe,Feudal,Lumber Camp,"{""Wood"": 50, ""Food"": 100}",25,Wood Chopper,Villagers chop wood 20% faster,double-bit-axe,,Other,Age of Kings
Double Crossbow,Imperial,Castle,"{""Food"": 700, ""Gold"": 400}",40,Ballista Elephants;Scorpions,Ballista Elephants and Scorpions fire two projectiles,unique-tech-imperial,Khmer,Unique,Rise of the Rajas
Drill,Imperial,Castle,"{""Food"": 500, ""Gold"": 450}",60,Mongols,Siege Workshop units move 50% faster,unique-tech-imperial,,Other,Age of Kings
Druzhina,Imperial,Castle,"{""Food"": 900, ""Gold"": 500}",40,Infantry,Infantry deal 5 damage to adjacent units in a 0.5 tile radius.,unique-tech-imperial,Slavs,Unique,The Forgotten
Dry Dock,Imperial,Dock,"{""Food"": 600, ""Gold"": 400}",60,Ships,"Ship speed +15%, Transport Ship capacity +10",dry-dock,,Other,Age of Kings
El Dorado,Imperial,Castle,"{""Food"": 750, ""Gold"": 450}",50,Mayans;Eagle Warrior,Increases the hit points of Eagle Warriors by +40,unique-tech-imperial,,Other,The Conquerors
Elite Arambai,Imperial,Castle,"{""Food"": 1000, ""Gold"": 750}",65,Arambai,Upgrade to Elite Arambai,elite-unique-unit,,Elite,Rise of the Rajas
Elite Battle Elephant,Imperial,Castle,"{""Food"": 1100, ""Gold"": 700}",100,Battle Elephants,Upgrade to Elite Battle Elephant,elite-unique-unit,,Elite,Rise of the Rajas
Elite Berserk,Imperial,Castle,"{""Food"": 1300, ""Gold"": 550}",45,Berserk,Upgrade to Elite Berserk,elite-unique-unit,,Elite,Age of Kings
Elite Cannon Galleon,Imperial,Dock,"{""Wood"": 525, ""Gold"": 500}",30,Cannon Galleon,Upgrade to Elite Cannon Galleon,elite-unique-unit,,Elite,Age of Kings
Elite Caravel,Imperial,Dock,"{""Food"": 700, ""Gold"": 525}",48,Caravel,Upgrade to Elite Caravel,elite-unique-unit,,Elite,The African Kingdoms
Elite Cataphract,Imperial,Castle,"{""Food"": 1600, ""Gold"": 800}",50,Cataphract,Upgrade to Elite Cataphract,elite-unique-unit,,Elite,Age of Kings
Elite Chu Ko Nu,Imperial,Castle,"{""Food"": 760, ""Gold"": 760}",50,Chu Ko Nu,Upgrade to Elite Chu Ko Nu,elite-unique-unit,,Elite,Age of Kings
Elite Composite Bowman,Imperial,Castle,"{""Wood"": 600, ""Gold"": 500}",45,Composite Bowman,Upgrade to Elite Composite Bowman,elite-unique-unit,,Elite,The Mountain Royals
Elite Conquistador,Imperial,Castle,"{""Food"": 1200, ""Gold"": 600}",60,Conquistador,Upgrade to Elite Conquistador,elite-unique-unit,,Elite,The Conquerors
Elite Eagle Warrior,Imperial,Barracks,"{""Food"": 800, ""Gold"": 500}",40,Eagle Warrior,Upgrade to Elite Eagle Warrior,elite-unique-unit,,Elite,The Conquerors
Elite Elephant Archer,Imperial,Archery Range,"{""Food"": 900, ""Gold"": 500}",80,Elephant Archer,Upgrade to Elite Elephant Archer,elite-unique-unit,,Elite,Dynasties of India
Elite Huskarl,Imperial,Castle,"{""Food"": 1200, ""Gold"": 550}",40,Huskarl,Upgrade to Elite Huskarl,elite-unique-unit,,Elite,Age of Kings
Elite Jaguar Warrior,Imperial,Castle,"{""Food"": 1000, ""Gold"": 500}",45,Jaguar Warrior,Upgrade to Elite Jaguar Warrior,elite-unique-unit,,Elite,The Conquerors
Elite Janissary,Imperial,Castle,"{""Food"": 850, ""Gold"": 750}",55,Janissary,Upgrade to Elite Janissary,elite-unique-unit,,Elite,Age of Kings
Elite Longboat,Imperial,Dock,"{""Food"": 750, ""Gold"": 475}",60,Longboat,Upgrade to Elite Longboat,elite-unique-unit,,Elite,Age of Kings
Elite Longbowman,Imperial,Castle,"{""Food"": 850, ""Gold"": 850}",60,Longbowman,Upgrade to Elite Longbowman,elite-unique-unit,,Elite,Age of Kings
Elite Mameluke,Imperial,Castle,"{""Food"": 600, ""Gold"": 500}",50,Mameluke,Upgrade to Elite Mameluke,elite-unique-unit,,Elite,Age of Kings
Elite Mangudai,Imperial,Castle,"{""Food"": 1100, ""Gold"": 675}",50,Mangudai,Upgrade to Elite Mangudai,elite-unique-unit,,Elite,Age of Kings
Elite Monaspa,Imperial,Castle,"{""Food"": 1000, ""Gold"": 700}",45,Monaspa,Upgrade to Elite Monaspa,elite-unique-unit,,Elite,The Mountain Royals
Elite Plumed Archer,Imperial,Castle,"{""Wood"": 1000, ""Food"": 500}",45,Plumed Archer,Upgrade to Elite Plumed Archer,elite-unique-unit,,Elite,The Conquerors
Elite Samurai,Imperial,Castle,"{""Food"": 950, ""Gold"": 875}",60,Samurai,Upgrade to Elite Samurai,elite-unique-unit,,Elite,Age of Kings
Elite Serjeant,Imperial,Castle,"{""Food"": 800, ""Gold"": 675}",45,Serjeants,Upgrade to Elite Serjeants,elite-unique-unit,Sicilians,Elite,Lords of the West
Elite Shrivamsha Rider,Imperial,Castle,"{""Food"": 850, ""Gold"": 500}",45,Shrivamsha Rider,Upgrade to Elite Shrivamsha Rider,elite-unique-unit,Gurjaras,Elite,Dynasties of India
Elite Skirmisher,Imperial,Archery Range,"{""Wood"":250, ""Gold"": 160}",50,Skirmisher,Upgrade to Elite Skirmisher,elite-unique-unit,,Elite,Age of Kings
Elite Tarkan,Imperial,Castle,"{""Food"": 1000, ""Gold"": 500}",45,Tarkan,Upgrade to Elite Tarkan,elite-unique-unit,,Elite,The Conquerors
Elite Teutonic Knight,Imperial,Castle,"{""Food"": 1200, ""Gold"": 600}",50,Teutonic Knight,Upgrade to Elite Teutonic Knight,elite-unique-unit,,Elite,Age of Kings
Elite Throwing Axeman,Imperial,Castle,"{""Food"": 1000, ""Gold"": 850}",45,Throwing Axeman,Upgrade to Elite Throwing Axeman,elite-unique-unit,,Elite,Age of Kings
Elite Turtle Ship,Imperial,Dock,"{""Food"": 1000, ""Gold"": 800}",65,Turtle Ship,Upgrade to Elite Turtle Ship,elite-unique-unit,,Elite,The Conquerors
Elite War Elephant,Imperial,Castle,"{""Food"": 1350, ""Gold"": 800}",75,War Elephant,Upgrade to Elite War Elephant,elite-unique-unit,,Elite,Age of Kings
Elite War Wagon,Imperial,Castle,"{""Food"": 1000, ""Gold"": 800}",75,War Wagon,Upgrade to Elite War Wagon,elite-unique-unit,,Elite,The Conquerors
Elite Woad Raider,Imperial,Castle,"{""Food"": 1000, ""Gold"": 800}",45,Woad Raider,Upgrade to Elite Woad Raider,elite-unique-unit,,Elite,Age of Kings
Eupseong,Castle,Castle,"{""Food"": 300, ""Wood"": 300}",40,Watch Towers;Guard Towers;Keeps,"Watch Towers, Guard Towers and Keeps +2 range",unique-tech-castle,Koreans,Unique,Definitive Edition
Fabric Shields,Imperial,Castle,"{""Food"": 600, ""Gold"": 600}",40,Kamayuks;Slingers;Eagle Scouts,"Kamayuks, Slingers, and Eagle Scouts +1/+2 armor",unique-tech-imperial,Incas,Unique,The Forgotten
Faith,Imperial,Monastery,"{""Food"": 750, ""Gold"": 1000}",60,All units,Units are harder for enemy Monks to convert,faith,,Other,Age of Kings
Farimba,Imperial,Castle,"{""Food"": 650, ""Gold"": 400}",40,Stable units,Stable units +5 attack,unique-tech-imperial,Malians,Unique,The African Kingdoms
Fast Fire Ship,Imperial,Dock,"{""Wood"": 280, ""Gold"": 250}",50,Fire Ship,Upgrade to Fast Fire Ship,fast-fire-ship,,Unit,Age of Kings
Fereters,Imperial,Castle,"{""Food"": 550, ""Gold"": 400}",45,Infantry (not Spearman-line);Warrior Priests,Infantry units (except the Spearman line) +30 hit points & Warrior Priests +100% heal speed,unique-tech-imperial,Armenians,Unique,The Mountain Royals
Fervor,Castle,Monastery,"{""Gold"": 140}",50,Monks,Monks have +15% speed,fervor,,Other,Age of Kings
Feudal Age,Dark,Town Center,"{""Food"": 500}",130,,Advance to the Feudal Age,feudal-age,,Age,Age of Kings
First Crusade,Castle,Castle,"{""Food"": 400, ""Gold"": 300}",60,Town Centers,Each Town Center (max. 5) spawns 5 Serjeants; units become more resistant to conversion,unique-tech-castle,Sicilians,Unique,Lords of the West
Flemish Revolution,Imperial,Castle,{},10,Villagers,Turns all villagers into Flemish Militia. Cost of tech = 200 food +10 food per villager converted and 150 gold +5 gold per villager converted,unique-tech-imperial,Burgundians,Unique,Lords of the West
Fletching,Feudal,Blacksmith,"{""Food"": 100, ""Gold"": 50}",30,Arrow shooting units and structures,"Archers, Cavalry Archers, Galleys, Castles, and Towers +1 range and attack. Town Centers +1 attack and Line of Sight.",fletching,,Other,Age of Kings
Forced Levy,Imperial,Castle,"{""Food"": 850, ""Gold"": 500}",40,Militia line,Turns Militia line units' gold cost to food cost,unique-tech-imperial,Malay,Unique,Rise of the Rajas
Forging,Feudal,Blacksmith,"{""Food"": 150}",50,Infantry;Cavalry,Infantry/cavalry attack +1,forging,,Other,Age of Kings
Fortified Wall,Castle,University,"{""Wood"": 100, ""Food"": 200}",50,Stone Wall; Gate,Fortified Wall 3000 HP 12/12 armor 24 building armor and Gate 4000 HP 6/6 armor 20 building armor,fortified-wall,,Other,Age of Kings
Frontier Guards,Imperial,Castle,"{""Food"": 800, ""Gold"": 700}",-1,Camel Riders and Elephant Archers,Camel Riders and Elephant Archers get +4 melee armor,unique-tech-imperial,Gurjaras,Unique,Dynasties of India
Furor Celtica,Imperial,Castle,"{""Food"": 750, ""Gold"": 450}",50,Celts,Siege Workshop units gain 50% extra HP,unique-tech-imperial,Celts,Unique,Age of Kings
Galleon,Imperial,Dock,"{""Food"": 400, ""Wood"": 315}",65,War Galley,Upgrade to Galleon,galleon,,Unit,Age of Kings
Gambesons,Castle,Barracks,"{""Food"": 100, ""Gold"": 100}",25,Militia line,Militia-Line +1 Pierce Armor,gambesons,,Unit,Definitive Edition
Garland Wars,Imperial,Castle,"{""Food"": 450, ""Gold"": 750}",60,Aztecs,Infantry +4 attack,unique-tech-imperial,Aztecs,Unique,The Conquerors
Gillnets,Castle,Dock,"{""Food"": 150, ""Wood"": 200}",45,Fishing Ships,Fishing ships work 20% faster,gillnets,,Other,The Forgotten
Gold Mining,Feudal,Mining Camp,"{""Food"": 100, ""Wood"": 75}",30,Gold Miners,Villagers mine gold 15% faster,gold-mining,,Other,Age of Kings
Gold Shaft Mining,Castle,Mining Camp,"{""Food"": 175, ""Wood"": 75}",75,Gold Miners,Villagers mine gold 15% faster,gold-shaft-mining,,Other,Age of Kings
Grand Trunk Road,Castle,Castle,"{""Food"": 250, ""Wood"": 200}",40,,All gold gathering is 10% faster & reduces the trading fee to 10%,unique-tech-castle,Hindustanis,Unique,Dynasties of India
Great Wall,Castle,Castle,"{""Wood"": 400, ""Stone"": 200}",40,Walls;Towers,Walls and towers +30% hit points,unique-tech-castle,Chinese,Unique,The Forgotten
Greek Fire,Castle,Castle,"{""Food"": 250, ""Gold"": 300}",40,Fire Ships,"Fire Ships +1 range, Dromons’ and Bombard Towers’ blast radius increased by 0.5..",unique-tech-castle,Byzantines,Unique,The Forgotten
Guard Tower,Castle,University,"{""Food"": 100, ""Wood"": 250}",30,Watch Tower,Upgrade to Guard Tower,guard-tower,,Other,Age of Kings
Guilds,Imperial,Market,"{""Food"": 300, ""Gold"": 200}",50,,Commodity trading fee - 15% (from 30%),guilds,,Other,Age of Kings
Halberdier,Imperial,Barracks,"{""Food"": 300, ""Gold"": 600}",50,Pikeman,Upgrade to Halberdier,halberdier,,Other,The Conquerors
Hand Cart,Castle,Town Center,"{""Food"": 300, ""Wood"": 200}",55,Villagers,"Villager speed +10%, carrying capacity +50%",hand-cart,,Other,Age of Kings
Hauberk,Imperial,Castle,"{""Food"": 700, ""Gold"": 600}",45,Knight-line,Knight-line units +1/+2 armor,unique-tech-imperial,Sicilians,Unique,Lords of the West
Heated Shot,Castle,University,"{""Food"": 350, ""Gold"": 100}",30,Tower;Castle,Towers +125% and Castles +25% attack against ships,heated-shot,,Other,Age of Kings
Heavy Camel,Imperial,Stable,"{""Food"": 325, ""Gold"": 360}",125,Camel,Upgrade to Heavy Camel,heavy-camel-rider,,Unit,Age of Kings
Heavy Cavalry Archer,Imperial,Archery Range,"{""Food"":900, ""Gold"": 500}",50,Cavalry Archer,Upgrade to Cavalry Archer,heavy-cavalry-archer,,Unit,Age of Kings
Heavy Demolition Ship,Imperial,Dock,"{""Wood"": 200, ""Gold"": 300}",50,Demolition Ship,Upgrade to Heavy Demolition Ship,heavy-demolition-ship,,Unit,Age of Kings
Heavy Plow,Castle,Mill,"{""Food"": 125, ""Wood"": 125}",40,Farm;Farmers,Food amount +75 and Farmers carry +1 food,heavy-plow,,Other,Age of Kings
Heavy Scorpion,Imperial,Siege Workshop,"{""Food"": 800, ""Wood"": 900}",50,Scorpion,Upgrade to Heavy Scorpion,heavy-scorpion,,Unit,Age of Kings
Herbal Medicine,Castle,Monastery,"{""Gold"": 200}",35,Garrisoned Units,Garrisoned Units 6x healing speed,herbal-medicine,,Other,Age of Kings
Heresy,Castle,Monastery,"{""Gold"": 1000}",60,Monks,Units converted by enemy Monks die instead of joining them,heresy,,Other,Age of Kings
Hill Forts,Castle,Castle,"{""Food"": 250, ""Gold"": 250}",40,Town Centers,Town Centers +3 range,unique-tech-castle,Lithuanians,Unique,The Last Khans
Hoardings,Imperial,Castle,"{""Food"": 400, ""Gold"": 400}",75,Castle,Castle HP +21%,hoardings,,Other,Age of Kings
Horse Collar,Feudal,Mill,"{""Food"": 75, ""Wood"": 75}",20,Farm,Food amount +75,horse-collar,,Other,Age of Kings
Houfnice,Imperial,Siege Workshop,"{""Food"": 1100, ""Gold"": 800}",140,Bombard Cannons,"Grants access to an improved, unique version of a Bombard Cannon",houfnice,Bohemians,Unit,Dawn of the Dukes
Howdah,Imperial,Castle,"{""Food"": 400, ""Wood"": 300}",40,Battle Elephants,Battle Elephants +1/+1 armor,unique-tech-castle,Burmese,Unique,Rise of the Rajas
Hul'che Javelineers,Castle,Castle,"{""Food"": 300, ""Gold"": 300}",40,Skirmishers,Skirmishers throw two projectiles,unique-tech-castle,Mayans,Other,Lords of the West
Husbandry,Castle,Stable,"{""Food"": 150}",50,Cavalry;Cavalry Archer;Conquistador,Mounted units speed +10%,husbandry,,Other,Age of Kings
Hussar,Imperial,Stable,"{""Food"": 500, ""Gold"": 600}",50,Ligth Cavalry,Upgrade to Hussar,hussar,,Unit,The Conquerors
Hussite Reforms,Imperial,Castle,"{""Food"": 500, ""Gold"": 450}",45,Monks and Monastery technologies,Turns the gold cost of Monks and Monastery technologies into food,unique-tech-imperial,Bohemians,Unique,Dawn of the Dukes
Illumination,Imperial,Monastery,"{""Gold"": 120}",65,Monks,Monk's faith regenerates 50% faster,illumination,,Other,Age of Kings
Imperial Age,Castle,Town Center,"{""Food"": 1000, ""Gold"": 800}",190,,Advance to the Imperial Age,imperial-age,,Age,Age of Kings
Imperial Skirmisher,Imperial,Archery Range,"{""Wood"": 300, ""Gold"": 300}",50,Elite Skirmishers,Vietnamese upgrade to Elite Skirmishers,imperial-skirmisher,Vietnamese,Unit,Rise of the Rajas
Inquisition,Castle,Castle,"{""Food"": 100, ""Gold"": 300}",40,Monks,Monks convert faster & gives Missionaries +1 range,unique-tech-castle,Spanish,Unique,The Forgotten
Iron Casting,Castle,Blacksmith,"{""Food"": 220, ""Gold"": 120}",70,Infantry;Cavalry,Infantry/cavalry attack +1,iron-casting,,Other,Age of Kings
Ironclad,Castle,Castle,"{""Wood"": 400, ""Gold"": 350}",60,Siege Weapons,Siege weapon melee armor +4,unique-tech-castle,Teutons,Unique,The Forgotten
Kamandaran,Castle,Castle,"{""Food"": 400, ""Gold"": 300}",40,Archer,Archer line units cost 60 wood instead of 25 wood & 45 gold,unique-tech-castle,Persians,Unique,The Last Khans
Kasbah,Castle,Castle,"{""Food"": 250, ""Gold"": 250}",40,Castle,Team Castles work +25% faster,unique-tech-castle,Berbers,Unique,The African Kingdoms
Kataparuto,Imperial,Castle,"{""Food"": 550, ""Gold"": 300}",60,Japanese;Trebuchet,Trebuchets pack/unpack faster and fire 33% faster,unique-tech-imperial,Japanese,Unique,Age of Kings
Keep,Imperial,University,"{""Food"": 500, ""Wood"": 350}",75,Guard Tower,Upgrade to Keep,keep,,Other,Age of Kings
Kshatriyas,Castle,Castle,"{""Food"": 500, ""Gold"": 450}",-1,Military Units,Military units cost -25% food,unique-tech-castle,Gurjaras,Unique,Dynasties of India
Leather Archer Armor,Castle,Blacksmith,"{""Food"": 150, ""Gold"": 150}",55,Archer;Cavalry Archer;Skirmisher;Hand Cannoneer;Conquistador,Archer and Cavalry Archer armor +1/+1,leather-archer-armor,,Other,Age of Kings
Lechitic Legacy,Imperial,Castle,"{""Food"": 750, ""Gold"": 550}",60,Scout Cavalry,Gives 33% trample damage (blast damage) to the Scout Cavalry line within 0.5 tile blast radius,unique-tech-imperial,Poles,Unique,Dawn of the Dukes
Light Cavalry,Castle,Stable,"{""Food"": 150, ""Gold"": 50}",45,Scout,Upgrade to Light Cavalry,light-cavalry,,Unit,Age of Kings
Logistica,Imperial,Castle,"{""Food"": 1000, ""Gold"": 600}",50,Byzantines;Cataphract,Cataphract +0.5 blast radius - trample damage (5 damage) and +6 attack against infantry,unique-tech-imperial,Byzantines,Unique,Age of Kings
Long Swordman,Castle,Barracks,"{""Food"": 200, ""Gold"": 65}",40,Man At Arms,Upgrade to Long Swordman,long-swordman,,Unit,Age of Kings
Loom,Dark,Town Center,"{""Gold"": 50}",25,Villager,"Villager HP +15, armor +1/+2",loom,,Other,Age of Kings
Maghrabi Camels,Imperial,Castle,"{""Food"": 700, ""Gold"": 300}",40,Camels,Camel troops regenerate,unique-tech-imperial,Berbers,Unique,The African Kingdoms
Mahayana,Imperial,Castle,"{""Wood"": 800, ""Gold"": 650}",-1,Villagers,Villagers and Monks take -10% population space,unique-tech-imperial,Bengalis,Unique,Dynasties of India
Man At Arms,Feudal,Barracks,"{""Food"": 40, ""Gold"": 40}",40,Militia,Upgrade to Man at Arms,man-at-arms,,Unit,Age of Kings
