name,unique_unit,unique_tech,team_bonus,civilization_bonus,image,unique_buildings,expansion,army_type
Celts,Woad Raider;Elite Woad Raider,Stronghold;Furor Celtica,Siege Workshops work 20% faster,Infantry moves 15% faster starting from Feudal Age;Lumberjacks work 15% faster;Siege weapons fire 20% faster;Sheep cannot be stolen if within one Celt unit's line of sight,celts,,Age of Kings,Infantry and Siege Weapons
Chinese,Chu Ko Nu;Elite Chu Ko Nu,Great Wall;Rocketry,Farms provide +10% food,Get 3 extra villagers when first TC is built. but -50 wood and -200 food;Technologies cost 5%/10%/15% in Feudal/Castle/Imperial Age.;Town Centers support 10 population instead of 5 & have +5 line of sight;Demolition Ships have +50% HP,chinese,,Age of Kings,Archer
Cumans,Kipchak;Elite Kipchak,Steppe Husbandry;Cuman Mercenaries,Palisade Walls have +33% hit points.,A second Town Center can be built in the Feudal Age;Archery Ranges and Stables cost -75 wood;Siege Workshop and Battering Ram available in Feudal Age; Capped Ram upgrade available in Castle Age;Mounted units move 5%/10%/15% faster in Feudal/Castle/Imperial Age,cumans,,Definitive Edition,Cavalry
Dravidians,Urumi Swordsman;Elite Urumi Swordsman;Thirisadai,Medical Corps;Wootz Steel,Docks provide +5 population space.,Receive 200 wood when advancing to the next Age;Fishermen and Fishing Ships carry +15;Barracks technologies cost -50%;Skirmishers and Elephant Archers attack 25% faster;Siege units cost -33% wood,dravidians,,Dynasties of India,Infantry and Ships
Ethiopians,Shotel Warrior;Elite Shotel Warrior,Royal Heirs;Torsion Engines,Outposts +3 line of sight and stone cost removed,The Archer line fires 18% faster;Receive +100 food and +100 gold whenever a new Age is reached;The Pikeman upgrade is free,ethiopians,,The African Kingdoms,Archers and Siege Weapons
Franks,Throwing Axeman;Elite Throwing Axeman,Bearded Axe;Chivalry,Knights have +2 line of sight,Farm upgrades are free;Castles are 25% cheaper;Mounted units have +20% HP (starting in the Feudal Age);Foragers work 15% faster,franks,,Age of Kings,Cavalry
Georgians,Monaspa;Elite Monaspa,Svan Towers;Aznauri Cavalry,Repairing buildings costs -50% resources.,"Start with a Mule Cart, but -50 food;Fortified Churches provide +10% work rate to Villagers in a 19 tile square;Units and buildings receive -20% damage (-40% instead of -25%) when fighting from higher elevation;Mounted units regenerate 5/10/15 HP per minute in the Feudal/Castle/Imperial Age",georgians,,The Mountain Royals,Cavalry and Defense
Goths,Huskarl;Elite Huskarl,Anarchy;Perfusion,Barracks operate 20% faster;Hunt lasts 20% longer,"Infantry are 20%/25%/30%/35% cheaper in the Dark/Feudal/Castle/Imperial Age;Infantry have +1/+2/+3 attack bonus against standard buildings in the Feudal/Castle/Imperial Age;Villagers have +5 attack against aggressive huntables (Wild Boar, Javelina, Elephant, Rhinoceros) and carry +15 food from hunting;Loom is researched instantly;+10 population cap in the Imperial Age",goths,,Age of Kings,Infantry
Gurjaras,Chakram Thrower;Elite Chakram Thrower;Shrivamsha Rider;Elite Shrivamsha Rider;Camel Scout,Kshatriyas;Frontier Guards,Camel and elephant units are created 25% faster.,Starts with 2 Forage Bushes;Can garrison Mills with livestock to produce food;Mounted units deal increased bonus damage (+20% in Feudal / +30% in Castle / and +40% in Imperial);Can garrison Docks with Fishing Ships,gurjaras,,Dynasties of India,Cavalry
Hindustanis,Imperial Camel Rider;Ghulam;Elite Ghulam,Shatagni;Grand Trunk Road,Camel units and light cavalry units have +2 attack against standard buildings.,Villagers are 5%/10%/15%/20% cheaper in the Dark/Feudal/Castle/Imperial Age;Camel Riders attack 20% faster;Gunpowder units units have +1/+1 armor;Can build Caravanserai in Imperial Age,hindustanis,Caravanserai,Dynasties of India,Camel Riders and Gunpowder Units
Huns,Tarkan;Elite Tarkan,Marauders;Atheism,Stables work 20% faster,"Start the game with -100 wood, but with the population cap at the maximum;Cavalry Archers are 10%/20% cheaper in the Castle/Imperial Age;Trebuchets have +30% accuracy against units",huns,,The Conquerors,Cavalry
Incas,Kamayuk;Elite Kamayuk;Slinger,Andean Sling;Fabric Shields,Start with a free Llama,Start the game with an Eagle Scout;Villagers benefit from Blacksmith infantry upgrades.;Houses support 10 population.;Buildings cost -15% stone (except starting Town Center).;Military units cost -15/20/25/30% food in Dark/Feudal/Castle/Imperial,incas,,The Forgotten,Infantry
Italians,Genoese Crossbowman;Elite Genoese Crossbowman;Condottiero,Pavise;Silk Road,Condottieri are available at the Barracks.,Advancing to the next Age is 15% cheaper;Dock and University technologies are 33% cheaper;Fishing Ships are 15% cheaper;Gunpowder units are 20% cheaper,italians,,The Forgotten,Archers and Naval
Japanese,Samurai;Elite Samurai,Yasama;Kataparuto,Galleys have +50% line of sight,Fishing Ships have 2x HP and +2 pierce armor;Fishing Ships work +5% faster in Dark Age/ +10% in Feudal Age/ +15% in Castle Age/ +20% in Imperial Age;Lumber Camps / Mining Camps / Mills are 50% cheaper;Infantry attack 25% faster (starting in Feudal Age);Cavalry Archers +2 attack vs. Archers.,japanese,,Age of Kings,Infantry
Khmer,Ballista Elephant;Elite Ballista Elephant,Tusk Swords;Double Crossbow,Scorpions have +1 range.,"No buildings are required to advance to the next age or to unlock other buildings;Battle Elephants move 10% faster;Farmers don't carry food but rather add it directly to the stockpile without any drop-off, but work 5% slower;Villagers can garrison in Houses",khmer,,Rise of the Rajas,Siege Weapons and Elephants
Koreans,War Wagon;Elite War Wagon;Turtle Ship;Elite Turtle Ship,Eupseong;Shinkichon,Mangonel line minimum range reduced to 1,"Villagers have +3 Line of Sight;Stone Miners work 20% faster;Tower upgrades are free (Bombard Tower requires Chemistry);Archer Armor upgrades are free;Archers and Infantry cost -50% wood, Warships cost -20% wood",koreans,,The Conquerors,Tower and Naval
Lithuanians,Leitis;Elite Leitis,Hill Forts;Tower Shields,Monastery works 20% faster.,"Each Town Center built provides 100 food.;Spearman line and Skirmishers move 10% faster.;Cavalry (except the Scout Cavalry line) get +1 attack for each Relic garrisoned in the Monastery, up to +4.",lithuanians,,Definitive Edition,Cavalry and Monks
Magyars,Magyar Huszar;Elite Magyar Huszar,Corvinian Army;Recurve Bow,Cavalry Archers trained 25% faster,"Forging, Iron Casting, and Blast Furnace are free.;Scout Cavalry line is 15% cheaper.;Villagers kill wild animals in one strike.",magyars,,The Forgotten,Cavalry
Malay,Karambit Warrior;Elite Karambit Warrior,Thalassocracy;Forced Levy,Docks have double Line of Sight.,"Advancing in Age is +66% faster;Fish Traps are 33% cheaper;Fish Traps provide 3 times more food;Battle Elephants are 30% cheaper in the Castle Age, 40% cheaper in the Imperial Age;Receive infantry armor upgrades for free",malay,Harbor,Rise of the Rajas,Infantry and Naval
Malians,Gbeto;Elite Gbeto,Tigui;Farimba,Universities research +80% faster.,Buildings cost -15% wood (except Farms & starting Town Center);Barracks units have +1/+2/+3 pierce armor in the Feudal/Castle/Imperial Age; Villagers drop off 10% more gold,malians,,The African Kingdoms,Infantry
Mayans,Plumed Archer;Elite Plumed Archer,Hul'che Javelineers;El Dorado,Walls are 50% cheaper,"Start the game with an Eagle Scout;Start the game with +1 Villager, but with -50 food;Resources last 15% longer;Foot archers (except Skirmishers) are 10%/20%/30% cheaper in the Feudal/Castle/Imperial Age",mayans,,The Conquerors,Archer
Mongols,Mangudai;Elite Mangudai,Nomads;Drill,Scout line has +2 Line of sight,Cavalry Archers reload 20% faster;Light Cavalry and Hussars have +30% HP;Hunters work 40% faster,mongols,,Age of Kings,Cavalry Archer
Persians,War Elephant;Elite War Elephant;Savar,Kamandaran;Citadels,Knights have +2 attack versus Archers,"Start the game with +50 food, +50 wood;Town Centers and Docks have 2x hit points and work +5%/+10%/+15%/+20% faster in Dark/Feudal/Castle/Imperial Age;Cavalry generate 5 gold when killing enemy military units;Parthian Tactics available in Castle Age;Can build Caravanserai in Imperial Age",persians,,Age of Kings,Cavalry
Poles,Obuch;Elite Obuch,Szlachta Privileges;Lechitic Legacy,The Scout Cavalry line has +1 attack vs. archers,Villagers recover 10/15/20 HP per minute in the Feudal/Castle/Imperial Age;The Folwark replaces the Mill;Stone miners generate 0.33 gold for each stone mined,poles,Folwark,Dawn of the Dukes,Cavalry
Portuguese,Organ Gun;Elite Organ Gun;Caravel;Elite Caravel,Carrack;Arquebus,Technologies Research 25% faster (excluding Age Up),All units cost –20% gold;All ships have +10% HP;Foragers generate a trickle of wood (33%);The Feitoria becomes available for building in the Imperial Age,portuguese,Feitoria,The African Kingdoms,Naval and Gunpowder Units
Romans,Legionary;Centurion;Elite Centurion;,Ballistas;Comitatenses,Scorpion-line minimum range reduced,"Villagers gather, build, and repair 5% faster;Galley-line and Dromons +1/+1 armor;Infantry receives double effect from Blacksmith armor upgrades;Scorpions cost -60% gold and benefit from Ballistics research",romans,,Return of Rome,Infantry
Saracens,Mameluke;Elite Mameluke,Bimaristan;Counterweights,Foot archers have +3 attack bonus against buildings,The commodity trading fee is 5%;Markets cost 75 wood;Transport Ships have double HP and +5 carry capacity;Galleys attack 25% faster;Camel units +25% HP,saracens,,Age of Kings,Camel and naval
Sicilians,Serjeant;Elite Serjeant,First Crusade;Hauberk,Transport Ships have +5 Line of Sight and cost -50%,"100 extra starting stone is received after completing the first Town Center;Castles build 50% and Town Centers build 100% faster;Land military units (except siege units) receive -33% bonus damage;Farm upgrades provide +125% additional food to Farms before they need to be reseeded;Can build Donjons, which replace the regular Watch Tower line",sicilians,Donjon,Lords of the West,Infantry and Cavalry
Slavs,Boyar;Elite Boyar,Detinets;Druzhina,Military buildings (excluding Castles and Docks) provide +5 population.,Farmers work 15% faster;Supplies & Gambesons techs are free;Siege Workshop units are 15% cheaper;Monks move +20% faster,slavs,,The Forgotten,Infantry and Siege Weapons
Spanish,Conquistador;Elite Conquistador;Missionary,Inquisition;Supremacy,Trade units generate +25% Gold,"Builders work 30% faster (20% for Wonders, doesn't apply to starting Town Center);Blacksmith upgrades don't cost gold;Cannon Galleon projectiles have Ballistics-like accuracy and move faster;Gunpowder units fire 18% faster;Gain 20 gold for each technology researched",spanish,,The Conquerors,Gunpowder and Monk
Tatars,Keshik;Elite Keshik;Flaming Camel,Silk Armor;Timurid Siegecraft,Cavalry Archers +2 Line of Sight.,Herdables contain +50% food;Units do +50% damage when attacking from higher elevations (instead of +25%);Parthian Tactics and Thumb Ring are free;Two Sheep spawn near newly-constructed Town Centers starting in the Castle Age,tatars,,Definitive Edition,Cavalry Archer
Teutons,Teutonic Knight;Elite Teutonic Knight,Ironclad;Crenellations,"Units resist conversion (half as effective as Faith, but stacks with the effect of this technology)",Monks have double healing range;Towers garrison twice as many units;Murder Holes and Herbal Medicine are free;Farms are 40% cheaper;Town Centers can garrison +10 units;Barracks and Stable units receive +1/+2 melee armor in the Castle/Imperial Age,teutons,,Age of Kings,Infantry
Turks,Janissary;Elite Janissary,Sipahi;Artillery,Gunpowder units are created 20% faster,Gunpowder units have +25% HP;Gunpowder technologies are 50% cheaper; Chemistry is free;Gold Miners work 20% faster;Light Cavalry and Hussar upgrades are free;Scout Cavalry line gain +1 pierce armor,turks,,Age of Kings,Gunpowder Units
Vietnamese,Rattan Archer;Elite Rattan Archer;Imperial Skirmisher,Chatras;Paper Money,Imperial Skirmishers are available at the Archery Range.,Reveal enemy positions at game start.;Archery Range units have +20% HP.;Conscription is free.;Economic upgrades no longer cost wood & research 100% faster,vietnamese,,Rise of the Rajas,Archers
Vikings,Berserk;Elite Berserk;Longboat;Elite Longboat,Chieftans;Berserkergang,Docks are 15% cheaper,"Wheelbarrow, Hand Cart upgrades free;Warships cost -15%/-15%/-20% in the Feudal/Castle/Imperial Age (excludes Transports);Infantry have +20% HP starting from the Feudal Age",vikings,,Age of Kings,Infantry and Naval
